DATE,DGS10
1990-01-01,0.08430000000000000000
1990-02-01,0.08510000000000000000
1990-03-01,0.08650000000000000000
1990-04-01,0.09040000000000000000
1990-05-01,0.08600000000000000000
1990-06-01,0.08430000000000000000
1990-07-01,0.08360000000000000000
1990-08-01,0.08860000000000000000
1990-09-01,0.08820000000000000000
1990-10-01,0.08650000000000000000
1990-11-01,0.08260000000000000000
1990-12-01,0.08080000000000000000
1991-01-01,0.08030000000000000000
1991-02-01,0.08020000000000000000
1991-03-01,0.08050000000000000000
1991-04-01,0.08020000000000000000
1991-05-01,0.08060000000000000000
1991-06-01,0.08240000000000000000
1991-07-01,0.08200000000000000000
1991-08-01,0.07820000000000000000
1991-09-01,0.07470000000000000000
1991-10-01,0.07470000000000000000
1991-11-01,0.07380000000000000000
1991-12-01,0.06710000000000000000
1992-01-01,0.07310000000000000000
1992-02-01,0.07270000000000000000
1992-03-01,0.07540000000000000000
1992-04-01,0.07610000000000000000
1992-05-01,0.07330000000000000000
1992-06-01,0.07140000000000000000
1992-07-01,0.06720000000000000000
1992-08-01,0.06620000000000000000
1992-09-01,0.06370000000000000000
1992-10-01,0.06800000000000000000
1992-11-01,0.06950000000000000000
1992-12-01,0.06700000000000000000
1993-01-01,0.06390000000000000000
1993-02-01,0.06030000000000000000
1993-03-01,0.06030000000000000000
1993-04-01,0.06050000000000000000
1993-05-01,0.06160000000000000000
1993-06-01,0.05800000000000000000
1993-07-01,0.05830000000000000000
1993-08-01,0.05450000000000000000
1993-09-01,0.05400000000000000000
1993-10-01,0.05430000000000000000
1993-11-01,0.05830000000000000000
1993-12-01,0.05830000000000000000
1994-01-01,0.05700000000000000000
1994-02-01,0.06150000000000000000
1994-03-01,0.06770000000000000000
1994-04-01,0.07060000000000000000
1994-05-01,0.07170000000000000000
1994-06-01,0.07340000000000000000
1994-07-01,0.07120000000000000000
1994-08-01,0.07190000000000000000
1994-09-01,0.07620000000000000000
1994-10-01,0.07810000000000000000
1994-11-01,0.07910000000000000000
1994-12-01,0.07840000000000000000
1995-01-01,0.07600000000000000000
1995-02-01,0.07220000000000000000
1995-03-01,0.07200000000000000000
1995-04-01,0.07070000000000000000
1995-05-01,0.06300000000000000000
1995-06-01,0.06210000000000000000
1995-07-01,0.06450000000000000000
1995-08-01,0.06280000000000000000
1995-09-01,0.06170000000000000000
1995-10-01,0.06030000000000000000
1995-11-01,0.05760000000000000000
1995-12-01,0.05580000000000000000
1996-01-01,0.05600000000000000000
1996-02-01,0.06130000000000000000
1996-03-01,0.06340000000000000000
1996-04-01,0.06660000000000000000
1996-05-01,0.06850000000000000000
1996-06-01,0.06730000000000000000
1996-07-01,0.06800000000000000000
1996-08-01,0.06960000000000000000
1996-09-01,0.06720000000000000000
1996-10-01,0.06370000000000000000
1996-11-01,0.06060000000000000000
1996-12-01,0.06430000000000000000
1997-01-01,0.06530000000000000000
1997-02-01,0.06560000000000000000
1997-03-01,0.06920000000000000000
1997-04-01,0.06720000000000000000
1997-05-01,0.06670000000000000000
1997-06-01,0.06510000000000000000
1997-07-01,0.06020000000000000000
1997-08-01,0.06340000000000000000
1997-09-01,0.06120000000000000000
1997-10-01,0.05840000000000000000
1997-11-01,0.05860000000000000000
1997-12-01,0.05750000000000000000
1998-01-01,0.05530000000000000000
1998-02-01,0.05620000000000000000
1998-03-01,0.05670000000000000000
1998-04-01,0.05680000000000000000
1998-05-01,0.05560000000000000000
1998-06-01,0.05440000000000000000
1998-07-01,0.05500000000000000000
1998-08-01,0.05050000000000000000
1998-09-01,0.04440000000000000000
1998-10-01,0.04640000000000000000
1998-11-01,0.04740000000000000000
1998-12-01,0.04650000000000000000
1999-01-01,0.04660000000000000000
1999-02-01,0.05290000000000000000
1999-03-01,0.05250000000000000000
1999-04-01,0.05360000000000000000
1999-05-01,0.05640000000000000000
1999-06-01,0.05810000000000000000
1999-07-01,0.05920000000000000000
1999-08-01,0.05980000000000000000
1999-09-01,0.05900000000000000000
1999-10-01,0.06020000000000000000
1999-11-01,0.06180000000000000000
1999-12-01,0.06450000000000000000
2000-01-01,0.06680000000000000000
2000-02-01,0.06420000000000000000
2000-03-01,0.06030000000000000000
2000-04-01,0.06230000000000000000
2000-05-01,0.06290000000000000000
2000-06-01,0.06030000000000000000
2000-07-01,0.06040000000000000000
2000-08-01,0.05730000000000000000
2000-09-01,0.05800000000000000000
2000-10-01,0.05770000000000000000
2000-11-01,0.05480000000000000000
2000-12-01,0.05120000000000000000
2001-01-01,0.05190000000000000000
2001-02-01,0.04920000000000000000
2001-03-01,0.04930000000000000000
2001-04-01,0.05350000000000000000
2001-05-01,0.05430000000000000000
2001-06-01,0.05420000000000000000
2001-07-01,0.05070000000000000000
2001-08-01,0.04850000000000000000
2001-09-01,0.04600000000000000000
2001-10-01,0.04300000000000000000
2001-11-01,0.04780000000000000000
2001-12-01,0.05070000000000000000
2002-01-01,0.05070000000000000000
2002-02-01,0.04880000000000000000
2002-03-01,0.05420000000000000000
2002-04-01,0.05110000000000000000
2002-05-01,0.05080000000000000000
2002-06-01,0.04860000000000000000
2002-07-01,0.04510000000000000000
2002-08-01,0.04140000000000000000
2002-09-01,0.03630000000000000000
2002-10-01,0.03930000000000000000
2002-11-01,0.04220000000000000000
2002-12-01,0.03830000000000000000
2003-01-01,0.04000000000000000000
2003-02-01,0.03710000000000000000
2003-03-01,0.03830000000000000000
2003-04-01,0.03890000000000000000
2003-05-01,0.03370000000000000000
2003-06-01,0.03540000000000000000
2003-07-01,0.04490000000000000000
2003-08-01,0.04450000000000000000
